Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
397,C3," Whitaker, Mark",Smoketown: The Untold Story of the Other Great Black Renaissance,New York: Simon & Schuster,2018," ISBN-13: 9781501122392
ISBN-10: 1501122398"," African American History Pittsburgh
Pennsylvania",,,,
398,C2," Best, Stephen M.",The Fugitive's Properties: Law and the Poetics of Possession,Chicago: University of Chicago Press,2004," ISBN-13: 9780226044347
ISBN-10: 0226044343"," African American Studies Literary criticism
Legal Studies",,,,
399,C2," Northrup, David"," Africa's Discovery of Europe, 1450-181850",3rd ed. New York; London: Oxford University Press,2014," ISBN-13: 9780199941216
ISBN-10: 0199941211"," History
Black Studies",,,,
400,C2," Vansina, Jan"," Art History in Africa: An Introduction to
Method",New York; London: Longman,1984," ISBN-13: 9780582643680
ISBN-10: 0582643686"," Art History
African Art",,,,
401,C2," Williams, Gilda",How to Write About Contemporary Art,London: Thames & Hudson,2014," ISBN-13: 9780500291573
ISBN-10: 0500291578"," Contemporary Art Writing
Criticism",,,,
402,C2," Young, Lucie and Marisa Bartolucci and Raul Cabra",Eva Zeisel,San Francisco: Chronicle Books,2003," ISBN-13: 9780811834339
ISBN-10: 0811834336"," Craft
Modern Design Decorative Arts Women artists",,,,
403,C2," Gyasi, Yaa",Homegoing,New York: Vintage,2017," ISBN-13: 9781101971062
ISBN-10: 1101971061"," Fiction Novel
Women artists
Signed by the author",,,,
404,C2," Dent, Gina and Michele Wallace, eds.",Black Popular Culture,Seattle: Bay Press,1992,ISBN-10: 0941920240," African American Studies Black Studies
Popular Culture",,,,
405,C2," Samudzi, Zoé, ed.",The Black Aesthetic: Season II,Oakland: Wolfman Books,2018," ISBN-13: 9780998346144
ISBN-10: 0998346144"," Film Anthology
Essays",,https://www.theblkaesthetic.com/,,
406,C2," deSouza, Allan",Ark of Matters: An Autobiography of V," Oakland: Wolfman Books; Saratoga:
Smith Sming Books",2020," ISBN-13: 9780998500683
ISBN-10: 0998500682"," Fiction
Black Literature",,,,
407,C2," Vaz, Kim Marie"," The ""Baby Dolls"": Breaking the Race and Gender Barriers of the New Orleans Mardi
Gras Tradition",Baton Rouge: Louisiana State University Press,2013," ISBN-13: 9780807150702
ISBN-10: 0807150703"," African American History Women's Studies
Louisiana",,,,
408,C2," Sanchez, Sonia; edited by Jacqueline Wood"," I'm Black When I'm Singing, I'm Blue When I Ain't and Other Plays",Durham: Duke University Press,2010," ISBN-13: 9780822347781
ISBN-10: 0822347784"," Black Arts Movement Essays
Theater Women artists",,,,
409,C2," Nash, Jennifer C."," Black Feminism Reimagined: After
Intersectionality",Durham: Duke University Press,2019," ISBN-13: 9781478000594
ISBN-10: 1478000597"," Black Feminist Theory
Women's Studies",,,,
410,C2," Green, Tara T."," Reimagining the Middle Passage: Black Resistance in Literature, Television, and Song",Columbus: Ohio State University Press,2018," ISBN-13: 9780814254714
ISBN-10: 0814254713"," Performance Cultural Criticism
Black Studies",,,,
411,C2," Marriott, David",On Black Men,New York: Columbia University Press,2000," ISBN-13: 9780231122276
ISBN-10: 0231122276",Gender Studies Cultural Criticism Black Studies,,,,
412,C2," Bernstein, Robin"," Racial Innocence: Performing American
Childhood from Slavery to Civil Rights",New York: New York University Press,2011," ISBN-13: 9780814787083
ISBN-10: 0814787088"," Literary criticism
African American Studies Black children",,,,
413,C2," Al-Khudhairi, Wassan",Hayv Kahraman: Acts of Reparation,St. Louis: Contemporary Art Museum St. Louis,2017," ISBN-13: 9780988997080
ISBN-10: 0988997088",Exhibition catalogue Artist monograph Women artists,,,,
414,C2," Klein, Mason",Helena Rubinstein: Beauty is Power," New York: Jewish Museum; New
Haven: Yale University Press",2014," ISBN-13: 9780300195569
ISBN-10: 0300195567"," Exhibition catalogue
Modern Art
Women art collectors",," https://thejewishmuseum.org/index.
php/exhibitions/helena-rubinstein- beauty-is-power",,
415,C3," Thüring, Reto and Beau Rutland"," The Ecstasy of St. Kara: Kara Walker, New Work",Cleveland: Cleveland Museum of Art; New Haven: Yale University Press,2016," ISBN-13: 9780300227154
ISBN-10: 0300227159"," Exhibition catalogue Artist monograph Women artists
Drawing",,https://www.clevelandart. org/exhibitions/ecstasy-st.-kara,,
416,C2," Jerger, Holly",Betye Saar: Keepin' It Clean,Los Angeles: Craft & Folk Art Museum,2017," ISBN-13: 9781532386282
ISBN-10: 1532386281",Exhibition catalogue Artist monograph Women artists,,https://www.craftcontemporary. org/exhibitions/betye-saar/,,
417,C2," Unterdörfer, Michaela, ed.",Rashid Johnson: Blocks," Berlin: Hauser & Wirth, in collaboration
with Distanz",2016," ISBN-13: 9783954761685
ISBN-10: 3954761688"," Exhibition catalogue
Artist monograph Public art",," https://www.thehighline.
org/art/projects/rashidjohnson/",,
418,C2," Cornish, Dudley Taylor"," The Sable Arm: Black Troops in the Union Army, 1861-1865",Lawrence: University Press of Kansas,1987,ISBN-13: 9780700603459 ISBN-10: 070060345X,African American History US/American Civil War,,,,
419,C2," Berger, John",Ways of Seeing," London: British Broadcasting Corp.; London; New York: Penguin Books,",1977," ISBN-13: 9780140135152
ISBN-10: 0140135154"," Visual Perception Visual Studies
Originally published in 1972 and
based on the BBC television series",,https://www.ways-of-seeing.com/ https://archive. org/details/WaysofSeeing,,
420,C2," Blesh, Rudi"," Modern Art USA: Men, Rebellion, Conquest,
1900-1956",New York: Alfred A. Knopf,1956,," Modern Art
American Art",,,,
421,C2," Raiford, Leigh",Imprisoned in a Luminous Glare: Photography and the African American Freedom Struggle,Chapel Hill: University of North Carolina Press,2011," ISBN-13: 9781469609782
ISBN-10: 1469609789"," African American Studies African American History Civil Rights Movement
Photography",,,,
422,C2," Anderson, Carol",White Rage: The Unspoken Truth of Our Racial Divide,New York: Bloomsbury,2017," ISBN-13: 9781632864130
ISBN-10: 1632864134"," United States History Racism
Civil Rights Movement",,,,
423,C2," Bonanos, Christopher",Instant: The Story of Polaroid," New York: Princeton Architectural
Press",2012," ISBN-13: 9781616890858
ISBN-10: 1616890851",Photography,,,,
424,C2," Davis, Lenwood G. and Janet L. Sims"," Black Artists in the United States: An Annotated Bibliography of Books, Articles, and Dissertations on Black Artists, 1779-1979",Westport: Greenwood Press,1980," ISBN-13: 9780313220821
ISBN-10: 0313220824"," African American Art History Bibliography
Reference Book",,,,
425,C2," Jones, Jacqueline"," The Dispossessed: America's Underclasses
from the Civil War to the Present",New York: Basic Books,1992," ISBN-13: 9780465001279
ISBN-10: 0465001270"," United States
History Class Economics",,,,
426,C2," Ford, Clyde W.",Think Black: A Memoir,New York: Amistad,2019," ISBN-13: 9780062890566
ISBN-10: 0062890565"," Biography Memoir
Technology",,,,
427,C2," Waters, Rob"," Thinking Black: Britain, 1964-1985",Oakland: University of California Press,2019," ISBN-13: 9780520293854
ISBN-10: 0520293851",Black Britons History Politics Britain/UK,,,,
428,C2," Wilkerson, Isabel",Caste: The Origins of Our Discontents,New York: Random House,2020," ISBN-13: 9780593230251
ISBN-10: 0593230256"," History
United States
Signed by the author",,,,
429,C2," Moro, Humberto",Kenturah Davis: Everything That Cannot Be Known,Savannah: SCAD University Press,2020," ISBN-13: 9780578725116
ISBN-10: 0578725118",Exhibition catalogue Artist monograph Women artists,," https://www.scadmoa. org/exhibitions/2020/everything-that- cannot-be-known#:~:text=Based% 20across%20Los%20Angeles%2C% 20California,broader%20sense%2C% 20a%20world%20vision.",,
430,C3," Kidney, Walter C.",Pittsburgh Then and Now,San Diego: Thunder Bay Press,2004," ISBN-13: 9781592231416
ISBN-10: 1592231411",Pittsburgh Pennsylvania History Photography,,,,
431,C3," Jordan, June, ed.",Soulscript: Afro-American Poetry," Garden City Doubleday & Company,
Inc.",1970," ISBN-13: 9780999173398
ISBN-10: 0999173391"," Poetry
Anthology",,,,
432,C3," Kearney, Douglas",The Black Automaton,Albany: Fence Books,2009," ISBN-13: 9781934200285
ISBN-10: 193420028X"," Poetry
Signed by the author",,,,
433,C3," doyle, r. erica",proxy,New York: Belladonna Press,2013," ISBN-13: 9780982338797
ISBN-10: 0982338791"," Poetry
Signed by the author",,,,
434,C3," Hoptman, Laura"," David Hammons: Body Prints, 1968-1979",New York: The Drawing Center,2021," ISBN-13: 9780942324419
ISBN-10: 0942324412"," Exhibition catalogue Artist monograph Drawing
Printmaking",,https://drawingcenter. org/exhibitions/david-hammons,,
435,C2," Reinhart, Jake",Where the Land Gives Way,Los Angeles: Deadbeat Club,2017,," Artist book
Photograph Pittsburgh Pennsylvania
Signed by the author",,,,
436,C2," Marta, Karen, ed.",Kara Walker: Figa,Athens: DESTE Foundation for Contemporary Art,2018,ISBN-13: 9786185039325 ISBN-10: 618503932X," Exhbition catalogue Artist monograph
Women artists",,https://deste.gr/hydra/kara-walker/,,
437,C3," Walker, Jerald",How to Make a Slave and Other Essays,C olumbus:Mad Creek Books,2020," ISBN-13: 9780814255995
ISBN-10: 081425599X",Essays,,,,
438,C3," Richter, Hans; translated bt David
Britt",Dada: Art and Anti-Art,London; New York: Thames & Hudson,1997," ISBN-13: 9780500200391
ISBN-10: 0500200394"," Modern Art
Art History",,,,
439,C3," Wilson, Ronaldo V.",Poems of the Black Object,New York: Futurepoem Books,2009," ISBN-13: 9780982279809
ISBN-10: 0982279809"," Poetry
Signed by the author",,,,
440,C3," Baca, Jimmy Santiago"," Martín and Meditations on the South Valley:
Poems",New York: New Directions Books,1987," ISBN-13: 9780811210324
ISBN-10: 0811210324",Poetry,,,,
441,C3," Hughes, Langston",The Ways of White Folks: Stories,New York: Vintage,1990," ISBN-13: 9780679728177
ISBN-10: 0679728171"," African American Literature Fiction
Short Stories
Originally published in 1934 by Alfred A. Knopf",,,See #564 The Ways of White Folks: Stories (1963),
442,C3," Moya, Horacio Castellanos; translated by Katherine Silver",Senselessness,New York: New Directions Books,2008," ISBN-13: 9780811217071
ISBN-10: 0811217078",Fiction Novel,,,,
443,C3," Grieder, Terence",Artist and Audience,2nd ed. Madison: Brown & Benchmark,1996," ISBN-13: 9780697286925
ISBN-10: 0697286924"," Art History
Textbook",,,,
444,C3," Cheng, Irene, Charles L. Davis II, and Mabel O. Wilson, eds.",Race and Modern Architecture: A Critical History from the Enlightenment to the Present,Pittsburgh: University of Pittsburgh Press,2020," ISBN-13: 9780822966593
ISBN-10: 082296659X"," Architectural History
Architecture",,https://www.youtube.com/watch?v=BbSoYhn3wT8 https://www.sah.org/conferences-and- programs/sah-connects/2020/race-and-modern-architecture,,
445,D1," Hogrefe, Jeffrey, Scott Ruff, Carrie Eastman, and Ashley Simone, eds.",In Search of African American Space: Redressing Racism,Zürich: Lars Müller Publishers,2020," ISBN-13: 9783037786338
ISBN-10: 3037786337"," Architectural History Architecture
Art History
African American History Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",,https://www.almalewis. org/exhibition/abdul-aziz-reclaiming- echoess/,,Alma Lewis website
446,C3," DeWitt Lloyd and Corey Piper, eds."," Thomas Jefferson, Architect: Palladian Models, Democratic Principles, and the Conflict of Ideals",Norfolk: Chrysler Museum of Art; New Haven: Yale University Press,2019,ISBN-13: 9780300246209 ISBN-10: 030024620X,Architectural History Architecture Exhibition catalogue,,https://chrysler.org/exhibition/thomas- jefferson-architect-palladian-models- democratic-principles-and-the-conflict- of-ideals/,,
447,C3," Bey, Dawoud",Street Portraits: Dawoud Bey,London: MACK,2021," ISBN-13: 9781913620103
ISBN-10: 1913620107"," Photography
Artist book",,,,
448,C3," Moutoussamy-Ashe, Jeanne",Viewfinders: Black Women Photographers," New York:  Dodd, Mead & Company",1986,ISBN-13: 9780396086116 ISBN-10: 039608611X,Photography Women artists Signed by the artist,,,,
449,C3," Wilson, Mabel O."," Begin with the Past: Building the National
Museum of African American History and Culture"," Washington, DC: Smithsonian Books",2006," ISBN-13: 9781588345691
ISBN-10: 1588345696"," Architecture
African American History Museums",," https://nmaahc.si.edu/
https://nmaahc.si.edu/about/building",,
450,C3," Droste, Magdalena"," Bauhaus, 1919-1933",Berlin: Bauhaus-Archiv Museum für Gestaltung; Cologne: Taschen,1998," ISBN-13: 9783822876275
ISBN-10: 3822876275"," Art History Modern art
Inscribed to Kilolo Luckett by Dr.
Augustus Brown",,https://www.bauhaus.de/en/,,
451,C3," Chadwick, Whitney",Women Artists and the Surrealist Movement,Revised ed. London: Thames & Hudson,2021," ISBN-13: 9780500296165
ISBN-10: 0500296162"," Art History Modern art Women artists
First published by Thames & Hudson in 1985",,,,
452,C3," Marx, Karl and Frederick Engels",Manifesto of the Communist Party,4th ed. Beijing: Foreign Language Press,1972,," Politics
Communism Theory
First published by Communist League in 1848",,,,
453,C3," Aquin, Stéphane and Evelyn C. Hankins",Mark Bradford: Pickett's Charge," New Haven: Yale University Press; Washington, DC: Hirshhorn Museum and Sculpture Garden, Smithsonian
Institution",2018,ISBN-13: 9780300230772 ISBN-10: 030023077X,Artist monograph Exhibition catalogue,,https://hirshhorn.si. edu/exhibitions/mark-bradford-picketts- charge/,,
454,C3," Oliver, Valerie Cassel",Jennie C. Jones: Compilation," Houston: Contemporary Arts Museum, Houston: New York: Gregory R. Miller
& Co.",2015," ISBN-13: 9781941366080
ISBN-10: 1941366082"," Artist monograph Exhibition catalogue
Women artists",,https://camh.org/event/jennie-c-jones- compilation/,,
455,C3," Johnson, Merritt"," Nicholas Galanin: Let Them Enter Dancing and Showing Their Faces (Yéil Ya-Tseen: Neil has
Yax̲ daxoon)",Seattle: Minor Matters,2018," ISBN-13: 9781732124103
ISBN-10: 1732124108"," Artist monograph Exhibition catalogue
Indigenous art",,,,
456,C3,Patrick McGilligan," Oscar Micheaux: The Great and Only: The Life
of America's First Black Filmmaker",New York: Harper Perennial,2008," ISBN-13: 9780060731403
ISBN-10: 0060731400"," Biography
Film/Cinema
African American History",,https://blackfilmarchive.com/,,
457,C3," Laymon, Kiese",How to Slowly Kill Yourself and Others in America,Chicago: Agate Bolden,2013," ISBN-13: 9781932841770
ISBN-10: 1932841776",Essays,,https://www.kieselaymon.com/how-to- slowly-kill-yourself-and-others-in-america,,
458,C3," Grabski, Joanna and Carol McGee, eds."," African Art, Interviews, Narratives: Bodies of Knowledge at Work",Bloomington: Indiana University Press,2013," ISBN-13: 9780253006912
ISBN-10: 0253006910"," Art History African art
Interviews",,,,
459,C3," Als, Hilton"," Alice Neel, Uptown",New York: David Zwirner Books; London: Victoria Miro,2017," ISBN-13: 9781941701607
ISBN-10: 1941701604",Artist monograph Exhibition catalogue Women artists Painting,,https://www.davidzwirner. com/exhibitions/2017/alice-neel- uptown-curated-hilton-alshttps://www. victoria-miro.com/exhibitions/506/,,
460,C3," Morrison, Toni"," The Source of Self-Regard: Selected Essays,
Speeches, and Meditations",New York: Alfred A. Knopf,2019," ISBN-13: 9780525521037
ISBN-10: 0525521038"," Essays
Women artists",,,,
461,C3," Mercer, Kobena",Travel & See: Black Diaspora Art Practices since the 1980s,Durham: Duke University Press,2016," ISBN-13: 9780822360940
ISBN-10: 0822360942"," Essays
Art History African Diaspora",,,,
462,C3," Givhan, Robin",The Battle of Versailles: The Night American Fashion Stumbled into the Spotlight and Made History,New York: Flatiron Books,2015," ISBN-13: 9781250052902
ISBN-10: 1250052904"," Fashion
African American History Black models",,https://www.youtube.com/watch? v=xAsJAXvwGsk,,
463,C3," Miller, Rosemary E. Reed"," The Threads Of Time, The Fabric Of History:
Profiles of African American Dressmakers and Designers from 1850 to the Present"," T & S Press: Washington, D.C.",2002," ISBN-13: 9780970971302
ISBN-10: 0970971303"," Fashion
African American History Women artists",,,,
464,C3," Bordwell, David and Kristin Thompson",Film Art: An Introduction,5th ed. New York: McGraw-Hill Companies,1997," ISBN-13: 9780070066342
ISBN-10: 0070066345"," Film/Cinema Art History
Textbook",,,,
465,C3," cameron, loren",Body Alchemy: Transsexual Portraits,Hoboken: Cleis Press,1996," ISBN-13: 9781573440622
ISBN-10: 1573440620"," Photography Gender Studies
Transgender",,,,
466,C3," Coppard, Abbie, Gabi Scardi and Lucy Orta, eds.",GSK Contemporary: Aware: Art Fashion Identity,Bologna: Damiani,2010," ISBN-13: 9788862081627
ISBN-10: 8862081626"," Fashion
Exhibition catalogue Art History",,,,
467,D1," Rosenfeld, Michael and halley k.
harrisburg"," Out of the Fifties - Into the Sixties : 6
Figurative Expressionists",New York: Michael Rosenfeld Gallery,2001," ISBN-13: 9781930416093
ISBN-10: 1930416091"," Exhibition catalogue
African American art Painting",,,,
468,C3," Levey, Michael"," Painting and Sculpture in France, 1700-1789",New Haven: Yale University Press,1993," ISBN-13: 9780300064940
ISBN-10: 0300064942"," Art History French art Painting
Sculpture",,,,
469,C3," Lynton, Norbert",The Story of Modern Art," 2nd ed. Englewoods Cliffs: Prentice- Hall, Inc.",1989," ISBN-13: 9780138498603
ISBN-10: 0138498601"," Art History Modern art
Textbook",,,,
470,D1," Warner, Langdon",The Enduring Art of Japan,New York: Grove Press,1988," ISBN-13: 9780802131324
ISBN-10: 0802131328",Art History Japanese art Asian art,,,,
471,D1," Altman, Hannah",Kavana," New York: Kris Graves Projects, LLC",2020,," Photography
Artist book Women artists",,,,
472,C3," Manchanda, Catharina, ed."," Figuring History: Robert Colescott, Kerry James Marshall, Mickalene Thomas",Seattle: Seattle Art Museum; New Haven: Yale University Press,2018," ISBN-13: 9780300233896
ISBN-10: 0300233892"," Art History
African American art Exhibition catalogue",," https://www.seattleartmuseum. org/Exhibitions/Details?EventId=56117 https://figuringhistory.site.
seattleartmuseum.org/",,
473,D1," Pilgrim, David",Understanding Jim Crow: Using Racist Memorabilia to Teach Tolerance and Promote Social Justice,Oakland: PM Press,2015," ISBN-13: 9781629631141
ISBN-10: 1629631140"," History Politics
African American history Material culture
Visual culture",,https://www.ferris. edu/HTMLS/news/jimcrow/index.htm,,
474,D1," Seck, Ibrahima"," Bouki Fait Gombo: A History of the Slave
Community of Habitation Haydel (Whitney Plantation) Louisiana, 1750-1860"," New Orleans: University of New
Orleans",2014," ISBN-13: 9781608010950
ISBN-10: 1608010953"," African American history
Slavery
African Diaspora Signed by the author",,,,
475,D1," Chadwick, Whitney"," Women, Art, and Society",3rd ed. London: Thames & Hudson,2002," ISBN-13: 9780500203545
ISBN-10: 0500203547"," Art History
Women artists",,,,
476,D1," Obrist, Hans Ulrich; edited by Karen Marta",Luchita Hurtado,Zurich: Hauser & Wirth Publishers,2020," ISBN-13: 9783906915609
ISBN-10: 3906915603",Artist monograph Women artists Interviews,,https://www.hauserwirth. com/artists/23262-luchita-hurtado/ https://shop.hauserwirth. com/collections/books/products/luchita- hurtado,,
477,D1," Hurston, Zora Neale; edited by
Deborah G. Plant"," Barracoon: The Story of the Last ""Black Cargo""",New York: Amistad,2018," ISBN-13: 9780062748201
ISBN-10: 0062748203"," Biography
African American History Slavery
Women artists",,,,
478,D1," Taylor, Paul C."," Black is Beautiful: A Philosophy of Black
Aesthetics"," Chichester, West Sussex: John Wiley &
Sons, Ltd,",2016," ISBN-13: 9781405150637
ISBN-10: 1405150637"," Philosophy
Aesthetics African Diaspora",,,,
479,D1," Procter, Alice",The Whole Picture: The colonial story of the art in our museums & why we need to talk about it,London: Cassel,2021," ISBN-13: 9781788402453
ISBN-10: 1788402456"," Art History Museums Politics
Colonialism",,https://www.theexhibitionist.org/,,
480,D3," English, Darby English and Charlotte Barat",Among Others: Blackness at MoMA,New York: Museum of Modern Art,2019," ISBN-13: 9781633450349
ISBN-10: 1633450341",Art History Museums African Diaspora,,,,
481,D1," Brown, Jessica Bell and Ryan N. Dennis, eds.",A Movement in Every Direction: A Great Migration Critical Reader," Baltimore: Baltimore Museum of Art; Jackson: Mississippi Museum of Art;
New Haven: Yale University Press",2022,ISBN-13: 9780300264463 ISBN-10: 0300264461," Anthology Exhibition catalogue
African American History Great Migration",," https://www.msmuseumart.org/the- great-migration/
https://artbma.org/exhibition/a- movement-in-every-direction-legacies- of-the-great-migration/ https://www.brooklynmuseum. org/exhibitions/a_movement_in_every_ direction",,
482,D2," Piepzna-Samarasinha, Leah Lakshmi",Care Work: Dreaming Disability Justice,Vancouver: Aresenal Pulp Press,2022," ISBN-13: 9781551527383
ISBN-10: 1551527383"," Social Justice Politics Disability
Essays",English," https://www.youtube.com/watch? v=8UpQVlT2wCQ https://brownstargirl.org/care-work-
dreaming-disability-justice/",," Video
Author website"
483,D2," Nance, Marilyn; edited by Oluremi
C. Onabanjo",Last Day in Lagos," New York: Center for Art, Research and Alliances (CARA); Johannesburg: Fourthwall Books",2022," ISBN-13: 9780994700995
ISBN-10: 0994700997",Photography Artist book Women artists African Diaspora,English,https://www.youtube.com/watch? v=IMVbjmMaFF4,,Video
484,E2," Brathwaite, Kwame; edited by Tanisha C. Ford",Kwame Brathwaite: Black Is Beautiful,New York: Aperture Foundation,2019,ISBN-13: 9781597114431 ISBN-10: 159711443X," Photography Artist monograph
Exhibition catalogue",English,https://aperture.org/exhibitions/kwame- brathwaiteblack-beautiful/,,Exhibition website
485,," Klanten, Robert, Sven Ehman, Vanessa Obrecht, and Design Indaba, eds."," Africa Rising: Fashion, Design and Lifestyle from Africa",Berlin: Gestalten,2016," ISBN-13: 9783899556414
ISBN-10: 3899556410"," Design Fashion African Art
African Diaspora",English,https://www.designindaba.com/,,Organization website
486,Kilolo's office," Dufour, Annie, Jean-Benoit Ormal- Grenon, and Nadège Plan, eds.",Le Modèle Noir: De Géricault à Matisse [The Black Model: From Géricault to Matisse],Paris: Musée d'Orsay: Flammarion,2019,ISBN-13: 9782354332815 ISBN-10: 2354332815," Art History Exhibition catalogue
Black models",French," https://www.musee-orsay. fr/fr/expositions/le-modele-noir-de-
gericault-matisse-196083 https://wallach.columbia. edu/exhibitions/posing-modernity-black- model-manet-and-matisse-today-le- mod%C3%A8le-noir-de-g%C3%A9ricault-
%C3%A0"," See #167 Denise Murrell, Posing Modernity: The Black Model from
Manet and Matisse to Today (2018)",Exhibition website
487,D2," Ladner, Joyce A.",Tomorrow's Tomorrow: The Black Woman,Lincoln: University of Nebraska Press,1995," ISBN-13: 9780803279568
ISBN-10: 0803279566"," Sociology Black women Black girls
Originally published in 1971 by
Doubleday",English,,,
488,D2," Williams, Robert F.",Negroes with Guns,Detroit: Wayne State University Press,1998," ISBN-13: 9780814327142
ISBN-10: 0814327141"," Black Studies
African American history Civil Rights
Politics
Originally published in 1962 by Marzani & Munsell, Inc.",English,,,
489,D2," Silva, Bisi and Stephanie Baptist, eds.",Àsìkò: On the Future of Artistic and Curatorial Pedagogies in Africa," Lagos: Centre for Contemporary Art, Lagos",2017,ISBN-13: 9780692288184 ISBN-10: 069228818X,Art History African Art Visual Culture,English,https://ccalagos.org/,,Organization website
490,D2," Goldman, Wendy Z. and Joe William Trotter, Jr., eds.",The Ghetto in Global History: 1500 to the Present,New York: Routledge,2018,ISBN-13: 9781138282308 ISBN-10: 1138282308,History African American history Jewish history,English,https://www.ushmm. org/collections/bibliography/ghettos," See #490 Charles I. Nero's essay ""Why Are Gay Ghettos White?"" in
E. Patrick Johnson and Mae G. Henderson, eds., Black Queer Studies (2005)",Museum website
491,D2," Johnson, E. Patrick and Mae G.
Henderson, eds.",Black Queer Studies: A Critical Anthology,Durham: Duke University Press,2005," ISBN-13: 9780822336181
ISBN-10: 0822336189"," Queer Studies
Black Studies",English,,,
492,D2," Korstad, Robert Rodgers"," Civil Rights Unionism: Tobacco Workers and the Struggle for Democracy in the Mid-
Twentieth-Century South",Chapel Hill: University of North Carolina Press,2003," ISBN-13: 9780807854549
ISBN-10: 0807854549"," African American History Civil Rights
Labor History",English,,,
493,D2," Wheadon, Nico"," Museum Metamorphosis: Cultivating Change
through Cultural Citizenship",Lanham: Rowman & Littlefield,2022," ISBN-13: 9781538130438
ISBN-10: 1538130432"," Museums
Art/Culture Administration",English,https://www.nicowheadon.com/,,Author website
494,D2," Cade, Toni, ed.",The Black Woman: An Anthology," New York: New American Library, Inc.",1970," ISBN-13: 9780451625878
ISBN-10: 0451625870"," Black Feminism Black Studies Gender Studies Essays
Gift to Kilolo Luckett from her
mother Velma Jean Luckett",English,https://nmaahc.si. edu/object/nmaahc_2018.38.3 https://nmaahc.si. edu/explore/stories/recreating-narrative," See #448 Mabel O. Wilson, Begin with the Past: Building the National Museum of African American History and Culture (2006)",Museum website
495,D2," Powell, Richard J.",Black Art: A Cultural History,3rd ed. London: Thames & Hudson,2021," ISBN-13: 9780500204665
ISBN-10: 0500204667"," African American Art
Art History",English,," See #63 Richard J. Powell, Black
Art: A Cultural History, 2nd ed. (2002)",
496,D2," Bennett, Lerone, Jr.",The Challenge of Blackness," Chicago: Johnson Publishing Company, Inc.",1972," ISBN-13: 9780874850543
ISBN-10: 0874850541"," Essays
African American History Black Studies",English,,,
497,D2," Bennett, Lerone, Jr.",The Negro Mood and Other Essays," Chicago: Johnson Publishing Company, Inc.",1964,OCLC: 422663," Essays
African American History Black Studies",English,,,
498,D2,Chinweizu [Chinweizu Ibekwe],The West and the Rest of US: White Predators Black Slavers and the African Elite,2nd ed. Lagos: Pero Press,1987,ISBN-13: 9789782651013 ISBN-10: 978265101X," African History Politics Economics
Originally published in 1975 by
Random House",English,,,
499,D2," Plummer, Sharbreon"," Diasporic Threads: Black Women, Fibre & Textiles",Norwich: Common Threads Press,2022,ISBN-13: 9781399919449 ISBN-10: 139991944X," Textiles Fiber Art
Women Artists",English," https://sharbreonplummer.com/ https://sharbreonplummer. com/threads/2021/10/21/full- bibliography https://docs.google.
com/document/d/1t_n8AP4li8miK0sQnT ky0of6WX2lAwuuBML9EPRBeJ8/mobileb asic
https://common-threads-press. myshopify.com/pages/about-us",," Author website;
QR code in Diasporic Threads for full bibliography;
QR code in Diasporic Threads for Black Women in Textiles Directory; Publisher website"
500,D2," Noble, Safiya Umoja",Algorithms of Oppression: How Search Engines Reinforce Racism,New York: New York University Press,2018," ISBN-13: 9781479837243
ISBN-10: 1479837245"," Sociology Black Studies
Gender Studies
Technology",English,https://safiyaunoble.com/,,Author website
501,D2," Brock, André, Jr.",Distributed Blackness: African American Cybercultures,New York: New York University Press,2020,ISBN-13: 9781479829965 ISBN-10: 147982996X,Media Studies Black Studies Technology Internet,English,," See #499 Safiya U. Noble, Algorithms of Oppression (2018)",
502,D2," Finney, Carolyn"," Black Faces, White Spaces: Reimagining the Relationships of African Americans Outdoors",Chapel Hill: University of North Carolina Press,2014,ISBN-13: 9781469614489 ISBN-10: 1469614480,Black Studies Environmental Studies,English,https://www.carolynfinney.com/ https://www.youtube.com/watch? v=gzOzzpNap14,,Author website Video Lecture
503,D2," Greenwood, Emily",Afro-Greeks: Dialogues between Anglophone Caribbean Literature and Classics in the Twentieth Century,Oxford: Oxford University Press,2010,ISBN-13: 9780199575244 ISBN-10: 019957524X,Caribbean Literature Postcolonialism Roman/Greek Antiquity,English,,,
504,D2," Akintoye, S. Adebanji",A History of the Yoruba People,Dakar: Amalion Publishing,2010," ISBN-13: 9782359260052
ISBN-10: 2359260057"," African History
Yoruba",English,," See #195 Alfred Burton Ellis, A
History of the Yoruba People (2017)",
505,D2," Battle-Baptiste, Whitney and Britt Rusert, eds",W. E. B. Du Bois's Data Portraits: Visualizing Black America,New York: Princeton Architectural Press,2018,ISBN-13: 9781616897062 ISBN-10: 1616897066," Sociology Design
African American History Black Studies",English,https://www.youtube.com/watch? v=wQb4ugSOh8M,,Video Panel discussion
506,D2," Baszile, Natalie"," We Are Each Other's Harvest: Celebrating African American Farmers, Land, and Legacy",New York: Amistad,2021,ISBN-13: 9780062932563 ISBN-10: 006293256X,African American History Environmental Studies Agriculture,English," https://nataliebaszile.com/ https://www.youtube.com/watch? v=XnH7pDUIE9k https://www.youtube.com/watch?
v=Txi24KKMIkc"," See #501 Carolyn Finney, Black Faces, White Spaces (2014)",Author website Video
